省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道札幌市,北海道防衛局,29113007,1614.34,29113007,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道千歳市,北海道防衛局,171407957,9976.26,171407957,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道幌泉郡えりも町,北海道防衛局,15550453,2433.18,15550453,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,北海道財務局,本局小樽出張所,一般会計,普通財産,迂回路敷地,北海道積丹郡積丹町大字美国字小泊８６８番,小樽開発建設部,17969,17.44,17969,0,0,0,0,0,0,都市計画区域外,-,-,-
財務省,北海道財務局,本局北見出張所,一般会計,普通財産,宿舎,北海道網走郡美幌町,帯広防衛支局,2144842,214.27,2144842,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,宿舎,北海道函館市,北海道防衛局,86957849,4584.57,86957849,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,巡回路敷地,北海道稚内市大字宗谷村字富磯２５９番１地先,稚内開発建設部,15720,119.86,15720,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,宿舎,北海道帯広市,帯広防衛支局,37256036,7157.74,37256036,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,管理用道路（木道）敷地,北海道釧路市安原,釧路開発建設部,771,1110.37,771,0,0,0,0,0,0,市街化調整区域,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,宿舎,北海道釧路市,帯広防衛支局,21443822,1472.79,21443822,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,仮設道路敷地,北海道厚岸郡厚岸町別寒辺牛,釧路開発建設部,812,1642.23,812,0,0,0,0,0,0,非線引,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,探勝歩道等敷地,北海道阿寒郡鶴居村字幌呂原野及び温根内,北海道地方環境事務所,8908,17640.83,8908,0,0,0,0,0,0,都市計画区域外,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,工事用道路敷地,北海道標津郡標津町字崎無異１２番３地先、１１番５地先,釧路開発建設部,14326,4363.81,14326,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,東北財務局,本局,一般会計,普通財産,宿舎,宮城県東松島市,東北防衛局,97979652,5385.21,97979652,0,0,0,0,0,0,市街化区域,近隣商業地域,80,200
財務省,東北財務局,本局,一般会計,普通財産,北貞山運河災害復旧事業の作業ヤード,宮城県仙台市若林区荒浜字南官林１６−１,宮城県,20827889,10540.43,20827889,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,東北財務局,盛岡財務事務所,一般会計,普通財産,宿舎,岩手県盛岡市青山三丁目９番１,東北防衛局,69488158,1590.30,69488158,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,東北財務局,福島財務事務所,一般会計,普通財産,原子力損害賠償紛争解決センター福島事務所会津支所,福島県会津若松市一箕町松長一丁目１７番６２,文部科学本省,16573851,1161.61,16573851,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市大字河原木字八太郎山官地,東北防衛局,236889287,22016.37,236889287,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市,東北防衛局,96371938,7298.14,96371938,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市大字河原木字八太郎山,東北防衛局,161647057,11967.78,161647057,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,東京財務事務所,一般会計,普通財産,駐車場敷地,東京都千代田区九段南１−５−１のうち,厚生労働省,2726708147,1235.76,2726708147,0,0,0,0,0,0,市街化区域,商業地域,80,700
財務省,関東財務局,東京財務事務所,一般会計,普通財産,機動隊員待機所及び機動隊警備車両駐車場,東京都千代田区永田町１−１−２のうち,警視庁,2782881513,1717.58,2782881513,0,0,0,0,0,0,市街化区域,商業地域,80,500
財務省,関東財務局,東京財務事務所,一般会計,普通財産,アホウドリ繁殖地保全等事業,東京都八丈島八丈町,関東地方環境事務所,7746,5000.00,7746,0,0,0,0,0,0,非線引,-,-,-
財務省,関東財務局,東京財務事務所,一般会計,普通財産,公安調査官詰所及び官用車等駐車場敷地,東京都世田谷区南烏山６−１８０１−１４、−３９,関東公安調査局,81561467,214.06,81561467,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所,一般会計,普通財産,被災者受入住宅用進入路及び被災者用駐車場,東京都千代田区九段南２—４−２７外１筆,関東財務局,2001493733,1169.99,1992258972,253.38,491.6,7820359,1330347,84055,0,市街化区域,第二種住居地域,60,400
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,東京外かく環状道路工事に伴う生活道路及び管理用地,東京都三鷹市北野３−４９８−１,関東地方整備局,26633843,174.13,26633843,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,深谷通信所跡,神奈川県横浜市戸塚区和泉町,南関東防衛局,2836450033,773746.58,2718782994,4828.25,5155.14,100321497,274103,17071439,0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,上瀬谷通信施設跡,神奈川県横浜市瀬谷区瀬谷町７１２６−３,南関東防衛局,37661199319,1095099.00,37045857019,20770.57,23327.10,490405551,13945147,110991602,0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,宿舎,神奈川県平塚市,南関東防衛局,426042900,4733.81,426042900,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,宿舎,神奈川県相模原市中央区向陽町３４７９−５のうち,南関東防衛局,402915870,4974.27,402915870,0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,FAC3079キャンプ座間,神奈川県相模原市南区磯部雨沼外,南関東防衛局,1017786870,17865.94,1017786870,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,FAC3084相模総合補給廠,神奈川県相模原市中央区上矢部３３３３−１外,南関東防衛局,9673467052,150057.66,9673467052,0,0,0,0,0,0,市街化区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,飛行場施設,神奈川県大和市福田字丙六ノ区５０５２外,横浜防衛施設局,25745132341,488680.00,25723626523,1767.02,1767.02,21505812,0,6,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,飛行場施設,神奈川県綾瀬市蓼川字中ノ原,南関東防衛局,108976160839,2070255.15,108976160839,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,海上自衛隊施設敷地,神奈川県横須賀市鴨居４−１１２７外,南関東防衛局,63158568,63676.82,63158565,28.13,28.13,2,0,1,0,市街化調整区域,-,-,-
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,東京湾海上交通センターへの通路,神奈川県横須賀市鴨居４−１１２７外,第三管区海上保安本部,471054,474.92,471053,0,0,0,0,1,0,市街化調整区域,-,-,-
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,477928039,10082.87,477928038,0,0,0,0,1,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,52007216,748.09,52007216,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,144015122,1678.33,144015122,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,300605106,2830.37,300605106,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,海上自衛隊横須賀地方総監部逸見庁舎敷地,神奈川県横須賀市西逸見町１丁目１０１−２のうち外,南関東防衛局,417873479,4376.37,417873479,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久里浜１丁目,南関東防衛局,166826763,2130.61,166826763,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久里浜６丁目,南関東防衛局,325550959,4106.04,325550959,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市武３丁目,南関東防衛局,364349776,7384.48,364349776,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久比里２丁目,南関東防衛局,227981169,12638.18,227981169,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県千葉市稲毛区小深町９０−７７のうち,北関東防衛局,29994299,925.75,29994299,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県千葉市稲毛区小深町９０−７７のうち,北関東防衛局,61286546,1891.56,61286546,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目３０５１番１外１筆のうち,北関東防衛局,21672288,1505.02,21672288,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市,北関東防衛局,34734582,2144.11,34734582,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目,北関東防衛局,43956756,2713.38,43956756,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目３０４８−３外,北関東防衛局,34256844,2114.62,34256844,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市長須賀字境目１６２０番２のうち,北関東防衛局,36977271,1999.09,36977271,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,木更津飛行場,千葉県木更津市吾妻,北関東防衛局,54853849,0,0,0,0,0,0,54853849,0,-,-,-,-
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県鴨川市広場字松崎８２０−２１のうち外,北関東防衛局,50262022,1750.68,50262022,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県八街市八街字九十九路に１５９番２１外４筆のうち,関東農政局,22524988,1155.90,22524988,0,0,0,0,0,0,非線引,第二種中高層住居専用地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,134301255,6197.28,134301255,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,49420282,2280.48,49420282,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,96907294,4471.75,96907294,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,進入路及び水道管埋設敷地,千葉県松戸市松飛台字御立場４５−１のうち,北関東防衛局,147086367,1804.31,123983070,0,0,0,0,23103297,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県熊谷市拾六間８３９,北関東防衛局,574937383,15925.79,574937383,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県和光市,北関東防衛局,1150114140,14198.94,1150114140,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県日高市,北関東防衛局,234660381,9490.43,234660381,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県さいたま市北区日進町１丁目,北関東防衛局,1525949685,13784.55,1525949685,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,水戸財務事務所,一般会計,普通財産,仮設庁舎敷地,茨城県水戸市北見町１２０番のうち外,水戸地方検察庁,182787720,4994.20,182787720,0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,長野財務事務所,一般会計,普通財産,地下埋設物の調査及び撤去,長野県長野市大字鶴賀字峯村４１−３,関東信越国税局,60219426,1208.74,60219426,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,長野財務事務所,一般会計,普通財産,工作物の撤去及び新設工事,長野県諏訪市大字上諏訪字鍜冶畑６６０１−１,関東信越国税局,7607943,635.89,7607943,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北陸財務局,本局,一般会計,普通財産,宿舎,石川県白山市,近畿中部防衛局,145423878,7263.93,145423878,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,東海財務局,津財務事務所,一般会計,普通財産,サミット開催に伴う海上警備本部,三重県志摩市阿児町鵜方字川向井３１３６番４３,第四管区海上保安本部,100876673,2148.30,52934112,700.16,700.16,44987802,0,2954759,0,非線引,都市計画用途地域指定なし,60,200
財務省,東海財務局,岐阜財務事務所,一般会計,普通財産,来客用駐車場,岐阜県岐阜市佐久間町６１番,名古屋国税局,74700724,1053.28,74700724,0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,東海財務局,岐阜財務事務所,一般会計,普通財産,宿舎への進入路,岐阜県加茂郡八百津町八百津字芦都３３１６番　外６筆,中部地方整備局,4438874,369.26,4438874,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,200
財務省,近畿財務局,本局,一般会計,普通財産,宿舎,大阪府豊中市,近畿中部防衛局,738240302,7237.65,738240300,0,0,0,0,2,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,近畿財務局,京都財務事務所,一般会計,普通財産,宿舎,京都府宇治市伊勢田町南山２１—５，広野町岩ヶ鼻１—６,近畿中部防衛局,244961305,3599.36,244961305,0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,河川及び水路敷,京都府舞鶴市大波，朝来，吉野２０９−６ほか,京都府,3451996,10646.61,3451996,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市字泉源寺小字知中　１６１−９４　外１筆,近畿中部防衛局,29927981,2709.00,29927981,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市字泉源寺,近畿中部防衛局,46309489,4191.81,46309489,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市,近畿中部防衛局,26434603,1304.48,26434603,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県姫路市,近畿中部防衛局,91659499,3117.67,91659498,0,0,0,0,1,0,市街化区域,第一種低層住居専用地域,50,100
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県小野市桜台１０番２,近畿中部防衛局,13477672,11022.18,13474296,0,0,0,2206,1170,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県宝塚市山本野里３丁目,近畿中部防衛局,251603426,10326.07,251603426,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,92477412,1915.36,92477411,0,0,0,0,1,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,65252188,931.11,65252188,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,135761959,3373.89,135761959,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市江田島町鷲部２丁目３０９−６８,中国四国防衛局,119636641,5654.44,119636641,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市,中国四国防衛局,53476379,1230.87,53476378,0,0,0,0,1,0,非線引,都市計画用途地域指定なし,70,400
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市,中国四国防衛局,63130948,1453.09,63130948,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,中国財務局,山口財務事務所,一般会計,普通財産,宿舎,山口県山陽小野田市,中国四国防衛局,33827235,2920.31,33827235,0,0,0,0,0,0,都市計画区域外,第一種住居地域,60,200
財務省,中国財務局,山口財務事務所,一般会計,普通財産,宿舎,山口県山陽小野田市,中国四国防衛局,38677118,3339.00,38677118,0,0,0,0,0,0,都市計画区域外,第一種住居地域,60,200
財務省,中国財務局,山口財務事務所下関出張所,一般会計,普通財産,下関港海岸保全施設整備事業に係る護岸工事作業ヤード,山口県下関市前田一丁目１１３番１,九州地方整備局,136037911,5913.16,135386230,0,0,0,0,651681,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,松江財務事務所,一般会計,普通財産,真砂土・砕石置場,島根県出雲市斐川町出西４０２０番７,中国四国農政局,60185968,5850.00,60185968,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,200
財務省,中国財務局,松江財務事務所,一般会計,普通財産,駐車場,島根県浜田市殿町７９番４７,広島国税局,9734223,217.6,9635956,0,0,0,0,98267,0,非線引,第二種住居地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,宿舎,熊本県熊本市北区八景水谷二丁目,熊本防衛支局,131414448,4977.82,131414448,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,宿舎,熊本県熊本市東区東町３丁目３−１,熊本防衛支局,592782680,12424.62,592782680,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,庁舎,熊本県熊本市中央区千葉城町３−３６,熊本国税局,363832042,5775.11,363831930,953.55,1648.40,8,1,103,0,市街化区域,第二種住居地域,60,200
財務省,福岡財務支局,本局,一般会計,普通財産,福岡空港回転翼機能移設事業に係る環境影響調査,福岡県福岡市東区大字奈多字小瀬抜１３０２番４７,大阪航空局,2391393,110,2391393,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,40,50
財務省,福岡財務支局,本局,一般会計,普通財産,駐車場敷地,福岡県久留米市諏訪野町字上土橋２４０１番１３,福岡労働局,38700906,530.43,38700172,0,0,0,733,1,0,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,宿舎,福岡県遠賀郡芦屋町大字芦屋字芦屋浜　１４５５番２７３外１筆,九州防衛局,93474528,6938.43,93474528,0,0,0,0,0,0,非線引,第一種中高層住居専用地域,60,200
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,宿舎,福岡県築上郡築上町,九州防衛局,69871572,4071.77,69871572,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,国土交通省雲仙復興事務所庁舎敷地,長崎県島原市南下川尻町７番４外２筆,九州地方整備局,171645019,5394.08,171645019,0,0,0,0,0,0,市街化区域,商業地域,80,400
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,臨時駐車場,長崎県諫早市永昌東町２１７番１,福岡国税局,30000824,812.37,30000824,0,0,0,0,0,0,市街化区域,第二種住居地域,60,300
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,FAC5029佐世保海軍施設,長崎県佐世保市ＦＡＣ５０２９内,九州防衛局,81243358,10701.18,81243358,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,キャンプ瑞慶覧西普天間住宅地区跡地支障除去作業の立入,沖縄県宜野湾市字喜友名山川原１０６６外１,沖縄防衛局,322248711,16729.00,322248711,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,陸域動植物及び海域生物調査立入,沖縄県名護市字辺野古長崎原,沖縄防衛局,1519493,3145.95,1519493,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
