省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,ＦＡＣ１０５４キヤンプ千歳,北海道千歳市祝梅ほか,3274175778,3738331.37,3251770987,0,0,0,22404791,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００６八戸貯油施設,青森県八戸市大字河原木字宇兵エ河原ほか,239700210,27176.36,167255244,819.85,819.85,22820098,963508,48661360,0,0,0,市街化区域,工業専用地域,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０１２三沢対地射爆撃場,青森県三沢市大字天ケ森字天ケ森ほか,174392653,3277571.45,51057996,1021.98,1237.98,69375815,1160752,52798090,0,0,0,非線引,-,-,-
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００１三沢飛行場,青森県三沢市大字三沢字平畑ほか,150134654218,14983004.87,114732915232,342322.26,517100.76,23939733447,226475423,11235530116,0,0,0,非線引,-,-,-
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０７０車力通信所,青森県つがる市豊富町屏風山,68897806,134868.29,68470682,0,0,0,0,427124,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,200
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３００４赤坂プレス・センター,東京都港区六本木,19956791415,26937.87,19814419649,3217.98,14085.29,113997662,0,28374104,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３１８１硫黄島通信所,東京都小笠原村硫黄島,2680978919,492289.40,75974813,12559.42,19159.99,1203974017,0,1401030089,0,0,0,都市計画区域外,-,-,-
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３１６２由木通信所,東京都八王子市別所,285747696,3890.90,285747696,0,0,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１６府中通信施設,東京都府中市浅間町,1954805136,9929.35,1921825692,725.05,725.05,21152315,2028392,9798737,0,0,0,市街化区域,第一種低層住居専用地域,30,50
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１３横田飛行場,東京都福生市大字熊川ほか,540866901049,6089211.59,493232227986,456985.13,914833.34,33338687114,445513919,13850472030,0,0,0,市街化調整区域,-,-,-
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１９多摩サービス補助施設,東京都稲城市ほか,77244765361,1957190.46,76839297456,11818.44,12827.31,200878450,42442395,162147060,0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６７横浜ノース・ドック,神奈川県横浜市神奈川区瑞穂町ほか,18307043207,425992.09,17701675307,52884.92,57541.21,170098510,247213,435022177,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６６根岸住宅地区,神奈川県横浜市中区寺久保ほか,27139437429,272699.79,26682856349,16305.51,21384.51,361544560,29520267,65516253,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８４相模総合補給廠,神奈川県相模原市中央区矢部新田ほか,129196812370,1963931.77,127667348640,312206.57,331651.85,1149280917,8366805,371816008,0,0,0,市街化区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３１０２相模原住宅地区,神奈川県相模原市南区上鶴間,35412154924,506548.03,34555693509,47534.02,62276.09,728461868,39002762,88996785,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０７９キャンプ座間,神奈川県座間市座間ほか,138422493643,2274047.50,129290970612,174622.56,259642.23,6855554083,35882833,2240086115,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８３厚木海軍飛行場,神奈川県綾瀬市蓼川ほか,173453828610,2485854.29,130852883969,356165.10,562408.58,25421470940,173364745,17006108956,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３１１７浦郷倉庫地区,神奈川県横須賀市浦郷町,1233944999,179774.17,1057843408,4613.62,4613.62,59836200,0,116265391,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９０吾妻倉庫地区,神奈川県横須賀市箱崎町ほか,13947692576,802255.39,11670598460,9025.91,9227.90,73342408,0,2203751708,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９９横須賀海軍施設,神奈川県横須賀市本町ほか,418475851899,2358325.24,364923420954,446656.99,976449.17,33012132320,131872032,20408426593,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０８７池子住宅地区及び海軍補助施設,神奈川県逗子市池子ほか,73169230731,2879243.18,54775165432,64015.81,191673.45,12562104535,173495228,5658465536,0,0,0,市街化調整区域,-,-,-
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,ＦＡＣ３０３３木更津飛行場,千葉県木更津市吾妻ほか,19566651439,2099929.49,19220854078,20707.33,24453.61,274955451,0,70841910,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４９所沢通信施設,埼玉県所沢市並木ほか,98436395060,966243.25,98409942526,0,0,0,0,26452534,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４８キャンプ朝霞,埼玉県和光市南ほか,7470300866,115794.23,7410830720,270.25,270.25,17903914,0,41566232,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０５６大和田通信所,埼玉県新座市本多ほか,21343233835,433956.96,21085903408,1965.09,1965.09,127897023,18425,129414979,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,東海財務局,静岡財務事務所沼津出張所,一般会計,普通財産,ＦＡＣ３１２７富士営舎地区,静岡県御殿場市中畑ほか,4006621720,432435.04,2594886951,18941.16,40195.38,1247414617,4110773,160209379,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,中国財務局,本局,一般会計,普通財産,ＦＡＣ４０８３川上弾薬庫,広島県東広島市八本松町飯田,15637329148,2604141.88,14064970293,20031.34,20266.05,193701287,4270994,1374386574,0,0,0,市街化調整区域,-,-,-
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４１５２呉第六突堤,広島県呉市昭和町,399123002,14360.26,198797219,2659.24,5204.86,174785105,3622095,21918583,0,0,0,市街化区域,工業地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４６１１灰ヶ峰通信施設,広島県呉市栃原町,3424648,720.25,1585990,15,30,1302029,86047,450582,0,0,0,市街化調整区域,-,-,-
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４０８４広弾薬庫,広島県呉市広黄幡町,4026938632,224642.42,2944799823,7616.40,7616.40,126275685,275940,955587184,0,0,0,市街化調整区域,-,-,-
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４０７８秋月弾薬庫,広島県江田島市江田島町字秋月,6386671540,559392.65,5939223579,19422.10,23590.69,139772619,394408,307280934,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,中国財務局,山口財務事務所,一般会計,普通財産,ＦＡＣ４０９２岩国飛行場,山口県岩国市三角町,297426621301,7827528.52,140399602105,352614.09,570830.59,54475310105,148762202,102402946889,0,0,0,市街化調整区域,-,-,-
財務省,福岡財務支局,本局,一般会計,普通財産,ＦＡＣ５００１板付飛行場,福岡県福岡市博多区大字東平尾,366353602,14636.58,366353597,2868.20,2868.20,1,0,4,0,0,0,市街化調整区域,都市計画用途地域指定なし,40,50
財務省,福岡財務支局,佐賀財務事務所,一般会計,普通財産,ＦＡＣ５０７３背振山通信施設,佐賀県神埼市背振町服巻字園田,24653727,2978.15,5450013,204.3,204.3,3444395,0,15759319,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,ＦＡＣ５０３９横瀬貯油所,長崎県西海市西海町横瀬郷,12868824433,678511.88,2229119681,11041.19,12528.61,1983350677,8247199,8648106876,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３２赤崎貯油所,長崎県佐世保市赤崎町,10182014972,751018.58,6296952733,15097.93,15168.83,393690677,270899,3491100663,0,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３６庵崎貯油所,長崎県佐世保市庵浦町,1064086847,227050.54,310606772,642.12,642.12,5,105691,753374379,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３０佐世保ドライ・ドック地区,長崎県佐世保市立神町ほか,419619255,28557.54,409515123,1262.89,1797.49,6031570,36071,4036484,7,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０８６立神港区,長崎県佐世保市立神町ほか,4961734602,129605.92,1864483047,24533.04,37342.68,1663653397,431039,1433167112,7,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０２９佐世保海軍施設,長崎県佐世保市平瀬町,27480091319,486482.12,9883391978,74521.13,160397.33,7878184564,36462940,9682051833,0,4,4,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５１１８崎辺海軍補助施設,長崎県佐世保市崎辺町,1870832088,129397.85,1866802566,741.13,741.13,4004017,1796,23709,0,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３３佐世保弾薬補給所,長崎県佐世保市前畑町,1863426969,582098.08,1858075669,15639.68,15920.90,29,301370,5049901,0,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０５０針尾島弾薬集積所,長崎県佐世保市針尾北町,104247969,1253294.32,66648375,2672.35,2672.35,8116449,0,29483145,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５１１９針尾住宅地区,長崎県佐世保市江上町ほか,9500060509,299559.80,3455072797,40051.64,110490.40,5180308271,34171688,830507753,0,0,0,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,長崎財務事務所（壱岐・対馬分）,一般会計,普通財産,ＦＡＣ５０９１対馬通信所,長崎県対馬市美津島町,6052096,1130.87,5812671,0,0,0,0,239425,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０６４那覇港湾施設,沖縄県那覇市垣花町ほか,10013202895,177224.83,10013202895,0,0,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０７６陸軍貯油施設,沖縄県うるま市天願ほか,782980607,62789.17,782980607,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２９キャンプ・コートニー,沖縄県うるま市字天願,100858600,9515.86,100858600,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２８天願桟橋,沖縄県うるま市字昆布昆布先原ほか,67709880,6984.00,67709880,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３１キャンプ・マクトリアス,沖縄県うるま市字川崎仲原ほか,212283900,19535.59,212283900,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０５１普天間飛行場,沖縄県宜野湾市字佐真下赤田地原ほか,2846677092,161340.98,2846677092,0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４４キャンプ瑞慶覧,沖縄県宜野湾市字安仁屋安仁屋原ほか,2531500427,134048.87,2531500427,0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０５６牧港補給地区,沖縄県浦添市字城間ほか,11060623338,185465.54,11060623338,0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６００９キャンプ・シュワブ,沖縄県名護市字辺野古ほか,102076926,56521.00,102076926,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４６泡瀬通信施設,沖縄県沖縄市字高原ほか,160519786,10773.14,160519786,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３２キャンプ・シールズ,沖縄県沖縄市字知花曲茶原ほか,140906806,11480.78,140906806,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０１１キャンプ・ハンセン,沖縄県国頭郡金武町字金武長久保原ほか,22372304,36966.10,22372304,0,0,0,0,0,0,0,0,都市計画区域外,-,70,400
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６００５伊江島補助飛行場,沖縄県国頭郡伊江村字西江上ほか,353776620,673853.00,353776620,0,0,0,0,0,0,0,0,都市計画区域外,-,-,-
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４８ホワイト・ビーチ地区,沖縄県うるま市勝連平敷屋ほか,428106578,85369.00,428106578,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２２嘉手納弾薬庫地区,沖縄県中頭郡読谷村字親志親志原ほか,1716954813,478759.43,1716954813,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３６トリイ通信施設,沖縄県中頭郡読谷村字楚辺前原,284371170,41646.26,284371170,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３７嘉手納飛行場,沖縄県中頭郡嘉手納町字屋良前原ほか,16540705843,989987.59,16540705843,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４３キャンプ桑江,沖縄県中頭郡北谷町字桑江前原ほか,57495700,3531.00,57495700,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,50,100
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０１０辺野古弾薬庫,沖縄県名護市字辺野古,17209374,9529.00,17209374,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,八重山財務出張所,一般会計,普通財産,ＦＡＣ６０８５赤尾嶼射爆撃場,沖縄県石垣市字登野城大正島,579201,41371.60,579201,0,0,0,0,0,0,0,0,都市計画区域外,-,-,-
